LEAVES zoom 12
0 Leaf { n: 0, w: 0, r: 0, h: 3329052, w_ext: 0, r_ext: 0 }
1 Leaf { n: 4, w: 0, r: 0, h: 3329057, w_ext: 0, r_ext: 0 }
2 Leaf { n: 288, w: 4, r: 0, h: 3329058, w_ext: 0, r_ext: 0 }
3 Leaf { n: 936, w: 6, r: 0, h: 3329059, w_ext: 0, r_ext: 0 }
4 Leaf { n: 937, w: 6, r: 0, h: 3329060, w_ext: 0, r_ext: 0 }
5 Leaf { n: 938, w: 6, r: 0, h: 3329061, w_ext: 0, r_ext: 0 }
6 Leaf { n: 1306, w: 6, r: 0, h: 3329062, w_ext: 0, r_ext: 0 }
7 Leaf { n: 1878, w: 7, r: 0, h: 3329063, w_ext: 0, r_ext: 0 }
8 Leaf { n: 2249, w: 7, r: 0, h: 3329064, w_ext: 0, r_ext: 0 }
9 Leaf { n: 25167, w: 2384, r: 0, h: 3329065, w_ext: 0, r_ext: 0 }
10 Leaf { n: 34667, w: 2712, r: 0, h: 3329066, w_ext: 0, r_ext: 0 }
11 Leaf { n: 112194, w: 13869, r: 0, h: 3329067, w_ext: 0, r_ext: 0 }
12 Leaf { n: 192790, w: 26645, r: 0, h: 3329068, w_ext: 0, r_ext: 0 }
13 Leaf { n: 306083, w: 43092, r: 0, h: 3329069, w_ext: 0, r_ext: 0 }
14 Leaf { n: 321672, w: 45200, r: 0, h: 3329070, w_ext: 0, r_ext: 0 }
15 Leaf { n: 330121, w: 45471, r: 0, h: 3329071, w_ext: 0, r_ext: 0 }
16 Leaf { n: 352213, w: 47073, r: 0, h: 3329072, w_ext: 0, r_ext: 0 }
17 Leaf { n: 374751, w: 48878, r: 0, h: 3329073, w_ext: 0, r_ext: 0 }
18 Leaf { n: 375411, w: 48882, r: 0, h: 3329074, w_ext: 0, r_ext: 0 }
19 Leaf { n: 376172, w: 48883, r: 0, h: 3329075, w_ext: 0, r_ext: 0 }
20 Leaf { n: 394617, w: 50567, r: 0, h: 3329076, w_ext: 0, r_ext: 0 }
21 Leaf { n: 395903, w: 50568, r: 0, h: 3329078, w_ext: 0, r_ext: 0 }
22 Leaf { n: 395970, w: 50568, r: 0, h: 3329079, w_ext: 0, r_ext: 0 }
